INFO 2024-10-03 21:39:18,608 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-03 21:39:18,610 autoreload Waiting for apps ready_event.
DEBUG 2024-10-03 21:39:18,718 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-10-03 21:39:18,727 autoreload Watching dir C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-10-03 21:39:18,728 autoreload Watching dir C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\templates with glob **/*.
DEBUG 2024-10-03 21:39:18,729 autoreload Watching dir C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\landtitles\templates with glob **/*.
DEBUG 2024-10-03 21:39:18,738 autoreload Watching dir C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\locale with glob **/*.mo.
DEBUG 2024-10-03 21:39:18,739 autoreload Watching dir C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-10-03 21:39:18,741 autoreload Watching dir C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\rest_framework\authtoken\locale with glob **/*.mo.
DEBUG 2024-10-03 21:39:18,743 autoreload Watching dir C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-10-03 21:39:18,744 autoreload Watching dir C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\landtitles\locale with glob **/*.mo.
DEBUG 2024-10-03 21:39:18,745 autoreload Watching dir C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\channels\locale with glob **/*.mo.
DEBUG 2024-10-03 21:39:18,945 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1724941162.9964337
DEBUG 2024-10-03 21:39:18,946 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\rest_framework\authtoken\models.py first seen with mtime 1724941173.8023026
DEBUG 2024-10-03 21:39:18,947 autoreload File C:\Python312\DLLs\_ssl.pyd first seen with mtime 1722974596.0
